timestamp,ue_id,serving_cell_id,rsrp_serving,rsrq_serving,sinr,cqi,best_neighbor_cell_id,rsrp_neighbor,rsrq_neighbor,ue_speed,pos_x,pos_y,handover_event,target_cell_id,handover_soon
0,0,2,-57.02,-3.0,5.24,6,3,-62.88,-6.99,1.77,443.88,821.36,0,-1,0
1,0,2,-55.59,-3.0,5.73,6,3,-61.57,-7.01,1.77,442.65,820.08,0,-1,0
2,0,2,-58.73,-3.0,3.81,5,3,-63.26,-6.03,1.77,441.05,819.3,0,-1,0
3,0,2,-55.42,-3.0,7.41,7,3,-63.28,-8.58,1.77,439.63,818.25,0,-1,0
4,0,2,-55.03,-3.0,6.03,7,3,-61.46,-7.4,1.77,437.93,817.74,0,-1,0
5,0,2,-56.76,-3.0,7.69,7,3,-65.69,-9.61,1.77,436.32,818.5,0,-1,0
6,0,2,-56.22,-3.0,6.61,7,3,-63.43,-8.07,1.77,434.93,819.59,0,-1,0
7,0,2,-57.96,-3.0,5.74,6,3,-65.36,-8.43,1.77,434.12,821.17,0,-1,0
8,0,2,-55.56,-3.0,9.29,8,3,-65.57,-10.5,1.77,432.66,822.19,0,-1,0
9,0,2,-53.9,-3.0,7.79,7,3,-62.23,-9.01,1.77,431.29,823.31,0,-1,0
10,0,2,-56.55,-3.0,6.22,7,3,-63.42,-7.79,1.77,430.07,824.6,0,-1,0
11,0,2,-52.92,-3.0,11.19,9,3,-64.83,-12.22,1.77,429.56,826.3,0,-1,0
12,0,2,-55.17,-3.0,9.25,8,3,-66.01,-11.33,1.77,429.06,828.0,0,-1,0
13,0,2,-53.45,-3.0,10.94,9,3,-65.18,-12.07,1.77,428.24,829.57,0,-1,0
14,0,2,-55.88,-3.0,8.77,8,3,-66.46,-11.11,1.77,426.74,830.52,0,-1,0
15,0,2,-55.86,-3.0,7.14,7,3,-63.51,-8.41,1.77,425.05,831.07,0,-1,0
16,0,2,-54.88,-3.0,7.24,7,3,-62.72,-8.58,1.77,423.41,830.41,0,-1,0
17,0,2,-53.99,-3.0,8.15,8,3,-63.06,-9.68,1.77,421.84,829.57,0,-1,0
18,0,2,-50.31,-3.0,15.7,11,3,-67.57,-17.37,1.77,420.27,828.74,0,-1,0
19,0,2,-52.86,-3.0,12.85,10,3,-67.24,-14.59,1.77,418.83,827.71,0,-1,0
20,0,2,-54.2,-3.0,10.95,9,3,-66.16,-12.29,1.77,417.78,826.28,0,-1,0
21,0,2,-57.88,-3.0,4.04,5,3,-62.61,-6.18,1.77,416.73,824.85,0,-1,0
22,0,2,-58.8,-3.0,3.94,5,3,-63.28,-5.95,1.77,416.34,823.12,0,-1,0
23,0,2,-51.9,-3.0,13.68,10,3,-67.78,-16.06,1.77,415.31,821.68,0,-1,0
24,0,2,-56.16,-3.0,5.24,6,3,-61.79,-6.77,1.77,414.52,820.09,0,-1,0
25,0,2,-54.0,-3.0,11.39,9,3,-66.92,-13.22,1.77,414.62,818.32,0,-1,0
26,0,2,-50.41,-3.0,12.17,10,3,-63.22,-13.07,1.77,415.52,816.79,0,-1,0
27,0,2,-54.19,-3.0,9.76,8,3,-65.41,-11.66,1.77,416.51,815.32,0,-1,0
28,0,2,-55.96,-3.0,5.49,6,3,-61.8,-6.92,1.77,417.86,814.17,0,-1,0
29,0,2,-54.3,-3.0,9.65,8,3,-64.5,-10.65,1.77,419.63,814.04,0,-1,0
30,0,2,-53.82,-3.0,7.14,7,3,-61.51,-8.46,1.77,421.23,814.81,0,-1,0
31,0,2,-57.75,-3.0,4.43,6,3,-62.83,-6.42,1.77,422.96,815.22,0,-1,0
32,0,2,-57.26,-3.0,6.73,7,3,-64.39,-7.97,1.77,424.51,814.38,0,-1,0
33,0,2,-56.47,-3.0,9.05,8,3,-67.24,-11.28,1.77,426.12,813.62,0,-1,0
34,0,2,-53.23,-3.0,11.37,9,3,-65.12,-12.19,1.77,427.88,813.42,0,-1,0
35,0,2,-58.51,-3.0,5.18,6,3,-64.3,-6.95,1.77,429.53,812.76,0,-1,0
36,0,2,-58.37,-3.0,5.39,6,3,-64.8,-7.54,1.77,431.29,812.6,0,-1,0
37,0,2,-54.13,-3.0,8.34,8,3,-63.19,-9.65,1.77,432.86,811.78,0,-1,0
38,0,2,-51.5,-3.0,11.32,9,3,-63.59,-12.39,1.77,433.87,810.32,0,-1,0
39,0,2,-54.92,-3.0,5.19,6,3,-60.34,-6.57,1.77,435.03,808.98,0,-1,0
40,0,2,-54.96,-3.0,3.27,5,3,-58.52,-5.23,1.77,435.79,807.37,0,-1,0
41,0,2,-52.81,-3.0,8.17,8,3,-61.3,-9.1,1.77,436.13,805.63,0,-1,0
42,0,2,-55.51,-3.0,5.99,7,3,-61.96,-7.42,1.77,437.13,804.17,0,-1,0
43,0,2,-58.22,-3.0,2.45,5,3,-61.13,-4.87,1.77,438.73,803.4,0,-1,0
44,0,2,-60.08,-3.0,2.05,4,3,-62.78,-4.8,1.77,439.89,802.06,0,-1,0
45,0,2,-56.94,-3.0,5.44,6,3,-62.93,-7.09,1.77,441.11,800.77,0,-1,0
46,0,2,-58.52,-3.0,5.0,6,3,-64.3,-6.98,1.77,442.58,799.78,0,-1,0
47,0,2,-57.87,-3.0,3.68,5,3,-62.56,-6.24,1.77,444.03,798.75,0,-1,0
48,0,2,-55.07,-3.0,7.91,7,3,-63.76,-9.35,1.77,445.01,797.27,0,-1,0
49,0,2,-56.88,-3.0,2.57,5,3,-59.76,-4.8,1.77,445.77,795.67,0,-1,0
50,0,2,-56.54,-3.0,6.38,7,3,-63.86,-8.22,1.77,446.46,794.03,0,-1,0
51,0,2,-57.98,-3.0,4.91,6,3,-63.55,-6.78,1.77,447.84,792.92,0,-1,0
52,0,2,-53.4,-3.0,7.63,7,3,-61.62,-8.92,1.77,448.9,791.5,0,-1,0
53,0,2,-51.77,-3.0,10.28,8,3,-62.61,-11.23,1.77,450.27,790.37,0,-1,0
54,0,2,-55.18,-3.0,7.66,7,3,-63.76,-9.26,1.77,452.03,790.19,0,-1,0
55,0,2,-55.61,-3.0,6.78,7,3,-63.16,-8.37,1.77,453.22,791.51,0,-1,0
56,0,2,-54.22,-3.0,8.42,8,3,-63.36,-9.72,1.77,453.44,793.27,0,-1,0
57,0,2,-56.15,-3.0,6.5,7,3,-63.41,-8.14,1.77,452.95,794.97,0,-1,0
58,0,2,-56.71,-3.0,3.82,5,3,-61.01,-5.8,1.77,452.5,796.68,0,-1,0
59,0,2,-53.04,-3.0,10.75,9,3,-64.65,-11.96,1.77,451.89,798.35,0,-1,0
60,0,2,-57.84,-3.0,3.66,5,3,-61.98,-5.7,1.77,450.79,799.74,0,-1,0
61,0,2,-62.66,-3.0,1.22,4,3,-64.74,-4.52,1.77,450.44,801.48,0,-1,0
62,0,2,-57.55,-3.0,2.43,5,3,-60.44,-4.85,1.77,450.67,803.24,0,-1,0
63,0,2,-59.1,-3.0,3.07,5,3,-62.65,-5.29,1.77,450.67,805.02,0,-1,0
64,0,2,-55.34,-3.0,5.68,6,3,-61.34,-7.04,1.77,451.04,806.75,0,-1,0
65,0,2,-56.05,-3.0,9.01,8,3,-66.03,-10.49,1.77,451.04,808.53,0,-1,0
66,0,2,-59.19,-3.0,5.01,6,3,-65.5,-7.5,1.77,451.61,810.21,0,-1,0
67,0,2,-58.69,-3.0,4.25,5,3,-64.13,-6.82,1.77,452.32,811.83,0,-1,0
68,0,2,-59.81,-3.32,-0.61,3,3,-59.38,-3.0,1.77,453.41,813.23,0,-1,0
69,0,2,-58.63,-3.0,2.94,5,3,-61.98,-5.13,1.77,453.13,814.98,0,-1,0
70,0,2,-58.88,-3.0,2.37,4,3,-61.74,-4.84,1.77,452.0,816.34,0,-1,0
71,0,2,-59.25,-3.0,2.94,5,3,-63.34,-5.87,1.77,450.67,817.52,0,-1,0
72,0,2,-56.98,-3.0,6.8,7,3,-65.03,-8.87,1.77,449.09,818.33,0,-1,0
73,0,2,-58.34,-3.0,7.69,7,3,-67.41,-9.75,1.77,447.46,819.03,0,-1,0
74,0,2,-57.83,-3.0,5.55,6,3,-64.45,-7.69,1.77,445.77,819.58,0,-1,0
75,0,2,-53.3,-3.0,6.94,7,3,-60.43,-7.93,1.77,444.38,820.67,0,-1,0
76,0,2,-55.15,-3.0,8.2,8,3,-64.45,-9.91,1.77,442.85,821.58,0,-1,0
77,0,2,-54.38,-3.0,9.87,8,3,-64.87,-10.92,1.77,441.69,822.93,0,-1,0
78,0,2,-55.74,-3.0,5.6,6,3,-62.27,-7.58,1.77,440.21,823.89,0,-1,0
79,0,2,-56.36,-3.0,7.51,7,3,-64.47,-8.82,1.77,438.51,824.4,0,-1,0
80,0,2,-57.67,-3.0,4.84,6,3,-63.28,-6.85,1.77,436.86,825.07,0,-1,0
81,0,2,-58.02,-3.0,7.98,7,3,-67.83,-10.46,1.77,435.87,826.54,0,-1,0
82,0,2,-53.39,-3.0,8.04,7,3,-61.76,-9.0,1.77,434.37,827.48,0,-1,0
83,0,2,-53.33,-3.0,11.48,9,3,-65.72,-12.69,1.77,433.45,829.0,0,-1,0
84,0,2,-52.02,-3.0,11.57,9,3,-64.41,-12.68,1.77,431.95,829.95,0,-1,0
85,0,2,-53.78,-3.0,7.53,7,3,-61.79,-8.72,1.77,430.18,829.87,0,-1,0
86,0,2,-56.83,-3.0,5.81,6,3,-63.24,-7.42,1.77,428.44,830.24,0,-1,0
87,0,2,-53.64,-3.0,9.37,8,3,-63.58,-10.42,1.77,426.67,830.32,0,-1,0
88,0,2,-50.29,-3.0,16.76,12,3,-69.63,-19.44,1.77,425.03,829.65,0,-1,0
89,0,2,-51.48,-3.0,10.18,8,3,-62.29,-11.21,1.77,423.28,829.94,0,-1,0
90,0,2,-55.83,-3.0,7.73,7,3,-64.29,-9.13,1.77,421.52,829.68,0,-1,0
91,0,2,-55.02,-3.0,10.36,9,3,-66.53,-11.9,1.77,419.75,829.69,0,-1,0
